,Comunidades autónomas,Total,latitude,longitude
14,Melilla,10135,35.2919,-2.93848
9,Ceuta,11312,35.8883,-5.3162
18,"Rioja, La",63219,42.4658,-2.44999
16,"Navarra, Comunidad Foral de",116556,42.818,-1.64421
5,Cantabria,122856,43.2,-4.03333
3,"Balears, Illes",167660,39.5341789,2.8577105
15,"Murcia, Región de",227146,37.9835,-1.12989
11,Extremadura,239942,39.4762,-6.37076
2,"Asturias, Principado de",280257,43.36029,-5.84476
1,Aragón,297011,41.6563,-0.876566
4,Canarias,300460,28.09973,-15.41343
6,Castilla - La Mancha,406826,39.8568,-4.02448
17,País Vasco,436899,43.257, -2.92344
7,Castilla y León,606571,42.60003,-5.57032
12,Galicia,659426,43.37135,-8.396
10,Comunitat Valenciana,901842,39.4702,-0.376805
13,"Madrid, Comunidad de",948758,40.4165,-3.70256
8,Cataluña,1351976,41.5911589,1.5208624
0,Andalucía,1457698,37.3826,-5.99629
