Mes de defunción	Covid-19	Sexo	Edad	Total
Total	Total	Total	Total	231.014
Total	Total	Total	De 0 a 49 años	6.263
Total	Total	Total	De 50 a 54 años	4.332
Total	Total	Total	De 55 a 59 años	6.768
Total	Total	Total	De 60 a 64 años	9.431
Total	Total	Total	De 65 a 69 años	12.220
Total	Total	Total	De 70 a 74 años	17.855
Total	Total	Total	De 75 a 79 años	24.707
Total	Total	Total	De 80 a 84 años	35.092
Total	Total	Total	De 85 a 89 años	51.588
Total	Total	Total	De 90 a 94 años	42.230
Total	Total	Total	95 y más años	20.528
Total	Total	Hombres	Total	115.541
Total	Total	Hombres	De 0 a 49 años	3.946
Total	Total	Hombres	De 50 a 54 años	2.855
Total	Total	Hombres	De 55 a 59 años	4.445
Total	Total	Hombres	De 60 a 64 años	6.382
Total	Total	Hombres	De 65 a 69 años	8.384
Total	Total	Hombres	De 70 a 74 años	11.807
Total	Total	Hombres	De 75 a 79 años	15.291
Total	Total	Hombres	De 80 a 84 años	18.672
Total	Total	Hombres	De 85 a 89 años	23.196
Total	Total	Hombres	De 90 a 94 años	15.244
Total	Total	Hombres	95 y más años	5.319
Total	Total	Mujeres	Total	115.473
Total	Total	Mujeres	De 0 a 49 años	2.317
Total	Total	Mujeres	De 50 a 54 años	1.477
Total	Total	Mujeres	De 55 a 59 años	2.323
Total	Total	Mujeres	De 60 a 64 años	3.049
Total	Total	Mujeres	De 65 a 69 años	3.836
Total	Total	Mujeres	De 70 a 74 años	6.048
Total	Total	Mujeres	De 75 a 79 años	9.416
Total	Total	Mujeres	De 80 a 84 años	16.420
Total	Total	Mujeres	De 85 a 89 años	28.392
Total	Total	Mujeres	De 90 a 94 años	26.986
Total	Total	Mujeres	95 y más años	15.209
Total	Covid-19 Virus identificado	Total	Total	32.652
Total	Covid-19 Virus identificado	Total	De 0 a 49 años	372
Total	Covid-19 Virus identificado	Total	De 50 a 54 años	341
Total	Covid-19 Virus identificado	Total	De 55 a 59 años	641
Total	Covid-19 Virus identificado	Total	De 60 a 64 años	1.112
Total	Covid-19 Virus identificado	Total	De 65 a 69 años	1.716
Total	Covid-19 Virus identificado	Total	De 70 a 74 años	2.910
Total	Covid-19 Virus identificado	Total	De 75 a 79 años	4.367
Total	Covid-19 Virus identificado	Total	De 80 a 84 años	5.765
Total	Covid-19 Virus identificado	Total	De 85 a 89 años	7.600
Total	Covid-19 Virus identificado	Total	De 90 a 94 años	5.544
Total	Covid-19 Virus identificado	Total	95 y más años	2.284
Total	Covid-19 Virus identificado	Hombres	Total	17.688
Total	Covid-19 Virus identificado	Hombres	De 0 a 49 años	240
Total	Covid-19 Virus identificado	Hombres	De 50 a 54 años	237
Total	Covid-19 Virus identificado	Hombres	De 55 a 59 años	435
Total	Covid-19 Virus identificado	Hombres	De 60 a 64 años	822
Total	Covid-19 Virus identificado	Hombres	De 65 a 69 años	1.213
Total	Covid-19 Virus identificado	Hombres	De 70 a 74 años	1.993
Total	Covid-19 Virus identificado	Hombres	De 75 a 79 años	2.887
Total	Covid-19 Virus identificado	Hombres	De 80 a 84 años	3.341
Total	Covid-19 Virus identificado	Hombres	De 85 a 89 años	3.742
Total	Covid-19 Virus identificado	Hombres	De 90 a 94 años	2.127
Total	Covid-19 Virus identificado	Hombres	95 y más años	651
Total	Covid-19 Virus identificado	Mujeres	Total	14.964
Total	Covid-19 Virus identificado	Mujeres	De 0 a 49 años	132
