Comunidades autónomas,Sexo,Edad,Tipo de dato,Periodo,Total
Total Nacional,Total,90 y más años,Dato base,2019SM01,2306.0
Total Nacional,Total,90 y más años,Dato base,2019SM02,2643.0
Total Nacional,Total,90 y más años,Dato base,2019SM03,2824.0
Total Nacional,Total,90 y más años,Dato base,2019SM04,27.0
Total Nacional,Total,90 y más años,Dato base,2019SM05,271.0
Total Nacional,Total,90 y más años,Dato base,2019SM06,2548.0
Total Nacional,Total,90 y más años,Dato base,2019SM07,245.0
Total Nacional,Total,90 y más años,Dato base,2019SM08,2464.0
Total Nacional,Total,90 y más años,Dato base,2019SM09,2299.0
Total Nacional,Total,90 y más años,Dato base,2019SM10,2233.0
Total Nacional,Total,90 y más años,Dato base,2019SM11,2133.0
Total Nacional,Total,90 y más años,Dato base,2019SM12,1999.0
Total Nacional,Total,90 y más años,Dato base,2019SM13,2119.0
Total Nacional,Total,90 y más años,Dato base,2019SM14,1986.0
Total Nacional,Total,90 y más años,Dato base,2019SM15,2008.0
Total Nacional,Total,90 y más años,Dato base,2019SM16,2034.0
Total Nacional,Total,90 y más años,Dato base,2019SM17,1969.0
Total Nacional,Total,90 y más años,Dato base,2019SM18,1973.0
Total Nacional,Total,90 y más años,Dato base,2019SM19,1978.0
Total Nacional,Total,90 y más años,Dato base,2019SM20,1964.0
Total Nacional,Total,90 y más años,Dato base,2019SM21,1886.0
Total Nacional,Total,90 y más años,Dato base,2019SM22,1865.0
Total Nacional,Total,90 y más años,Dato base,2019SM23,1826.0
Total Nacional,Total,90 y más años,Dato base,2019SM24,1776.0
Total Nacional,Total,90 y más años,Dato base,2019SM25,1825.0
Total Nacional,Total,90 y más años,Dato base,2019SM26,1967.0
Total Nacional,Total,90 y más años,Dato base,2019SM27,2057.0
Total Nacional,Total,90 y más años,Dato base,2019SM28,1915.0
Total Nacional,Total,90 y más años,Dato base,2019SM29,1826.0
Total Nacional,Total,90 y más años,Dato base,2019SM30,1948.0
Total Nacional,Total,90 y más años,Dato base,2019SM31,1737.0
Total Nacional,Total,90 y más años,Dato base,2019SM32,1851.0
Total Nacional,Total,90 y más años,Dato base,2019SM33,1827.0
Total Nacional,Total,90 y más años,Dato base,2019SM34,1662.0
Total Nacional,Total,90 y más años,Dato base,2019SM35,1671.0
Total Nacional,Total,90 y más años,Dato base,2019SM36,16.0
Total Nacional,Total,90 y más años,Dato base,2019SM37,1665.0
Total Nacional,Total,90 y más años,Dato base,2019SM38,1723.0
Total Nacional,Total,90 y más años,Dato base,2019SM39,1734.0
Total Nacional,Total,90 y más años,Dato base,2019SM40,1688.0
Total Nacional,Total,90 y más años,Dato base,2019SM41,1816.0
Total Nacional,Total,90 y más años,Dato base,2019SM42,1774.0
Total Nacional,Total,90 y más años,Dato base,2019SM43,1853.0
Total Nacional,Total,90 y más años,Dato base,2019SM44,1998.0
Total Nacional,Total,90 y más años,Dato base,2019SM45,1829.0
Total Nacional,Total,90 y más años,Dato base,2019SM46,2021.0
Total Nacional,Total,90 y más años,Dato base,2019SM47,218.0
Total Nacional,Total,90 y más años,Dato base,2019SM48,222.0
Total Nacional,Total,90 y más años,Dato base,2019SM49,2151.0
Total Nacional,Total,90 y más años,Dato base,2019SM50,2261.0
Total Nacional,Total,90 y más años,Dato base,2019SM51,2228.0
Total Nacional,Total,90 y más años,Dato base,2019SM52,2236.0
Total Nacional,Total,90 y más años,Dato base,2020SM01,2317.0
Total Nacional,Total,90 y más años,Dato base,2020SM02,2546.0
Total Nacional,Total,90 y más años,Dato base,2020SM03,2633.0
Total Nacional,Total,90 y más años,Dato base,2020SM04,264.0
Total Nacional,Total,90 y más años,Dato base,2020SM05,2646.0
Total Nacional,Total,90 y más años,Dato base,2020SM06,2505.0
Total Nacional,Total,90 y más años,Dato base,2020SM07,2331.0
Total Nacional,Total,90 y más años,Dato base,2020SM08,2183.0
Total Nacional,Total,90 y más años,Dato base,2020SM09,2297.0
Total Nacional,Total,90 y más años,Dato base,2020SM10,2155.0
Total Nacional,Total,90 y más años,Dato base,2020SM11,2476.0
Total Nacional,Total,90 y más años,Dato base,2020SM12,3174.0
Total Nacional,Total,90 y más años,Dato base,2020SM13,4976.0
Total Nacional,Total,90 y más años,Dato base,2020SM14,6062.0
Total Nacional,Total,90 y más años,Dato base,2020SM15,534.0
Total Nacional,Total,90 y más años,Dato base,2020SM16,4022.0
Total Nacional,Total,90 y más años,Dato base,2020SM17,3064.0
Total Nacional,Total,90 y más años,Dato base,2020SM18,2436.0
Total Nacional,Total,90 y más años,Dato base,2020SM19,2243.0
Total Nacional,Total,90 y más años,Dato base,2020SM20,1815.0
Total Nacional,Total,90 y más años,Dato base,2020SM21,1947.0
Total Nacional,Total,90 y más años,Dato base,2020SM22,1967.0
Total Nacional,Total,90 y más años,Dato base,2020SM23,1785.0
Total Nacional,Total,90 y más años,Dato base,2020SM24,1655.0
Total Nacional,Total,90 y más años,Dato base,2020SM25,173.0
Total Nacional,Total,90 y más años,Dato base,2020SM26,1969.0
Total Nacional,Total,90 y más años,Dato base,2020SM27,1938.0
Total Nacional,Total,90 y más años,Dato base,2020SM28,1982.0
Total Nacional,Total,90 y más años,Dato base,2020SM29,1918.0
Total Nacional,Total,90 y más años,Dato base,2020SM30,2005.0
Total Nacional,Total,90 y más años,Dato base,2020SM31,224.0
Total Nacional,Total,90 y más años,Dato base,2020SM32,2289.0
Total Nacional,Total,90 y más años,Dato base,2020SM33,2117.0
Total Nacional,Total,90 y más años,Dato base,2020SM34,2028.0
Total Nacional,Total,90 y más años,Dato base,2020SM35,1982.0
Total Nacional,Total,90 y más años,Dato base,2020SM36,1906.0
Total Nacional,Total,90 y más años,Dato base,2020SM37,2.0
Total Nacional,Total,90 y más años,Dato base,2020SM38,2057.0
Total Nacional,Total,90 y más años,Dato base,2020SM39,2002.0
Total Nacional,Total,90 y más años,Dato base,2020SM40,1984.0
Total Nacional,Total,90 y más años,Dato base,2020SM41,2125.0
Total Nacional,Total,90 y más años,Dato base,2020SM42,214.0
Total Nacional,Total,90 y más años,Dato base,2020SM43,2433.0
Total Nacional,Total,90 y más años,Dato base,2020SM44,2376.0
Total Nacional,Total,90 y más años,Dato base,2020SM45,268.0
Total Nacional,Total,90 y más años,Dato base,2020SM46,2538.0
Total Nacional,Total,90 y más años,Dato base,2020SM47,2478.0
Total Nacional,Total,90 y más años,Dato base,2020SM48,2451.0
Total Nacional,Total,90 y más años,Dato base,2020SM49,2464.0
Total Nacional,Total,90 y más años,Dato base,2020SM50,2492.0
Total Nacional,Total,90 y más años,Dato base,2020SM51,2398.0
Total Nacional,Total,90 y más años,Dato base,2020SM52,2363.0
Total Nacional,Total,90 y más años,Dato base,2020SM53,2394.0
Total Nacional,Total,90 y más años,Dato base,2021SM01,2811.0
Total Nacional,Total,90 y más años,Dato base,2021SM02,3287.0
Total Nacional,Total,90 y más años,Dato base,2021SM03,3527.0
Total Nacional,Total,90 y más años,Dato base,2021SM04,3323.0
Total Nacional,Total,90 y más años,Dato base,2021SM05,2948.0
Total Nacional,Total,90 y más años,Dato base,2021SM06,2636.0
Total Nacional,Total,90 y más años,Dato base,2021SM07,2398.0
Total Nacional,Total,90 y más años,Dato base,2021SM08,2182.0
Total Nacional,Total,90 y más años,Dato base,2021SM09,2131.0
Total Nacional,Total,90 y más años,Dato base,2021SM10,203.0
Total Nacional,Total,90 y más años,Dato base,2021SM11,2034.0
Total Nacional,Total,90 y más años,Dato base,2021SM12,2052.0
Total Nacional,Total,90 y más años,Dato base,2021SM13,2102.0
Total Nacional,Total,90 y más años,Dato base,2021SM14,2026.0
Total Nacional,Total,90 y más años,Dato base,2021SM15,2012.0
Total Nacional,Total,90 y más años,Dato base,2021SM16,2023.0
Total Nacional,Total,90 y más años,Dato base,2021SM17,1988.0
Total Nacional,Total,90 y más años,Dato base,2021SM18,2066.0
Total Nacional,Total,90 y más años,Dato base,2021SM19,1929.0
Total Nacional,Total,90 y más años,Dato base,2021SM20,1916.0
Total Nacional,Total,90 y más años,Dato base,2021SM21,183.0
Total Nacional,Total,90 y más años,Dato base,2021SM22,1906.0
Total Nacional,Total,90 y más años,Dato base,2021SM23,2016.0
Total Nacional,Total,90 y más años,Dato base,2021SM24,2198.0
Total Nacional,Total,90 y más años,Dato base,2021SM25,183.0
Total Nacional,Total,90 y más años,Dato base,2021SM26,1875.0
Total Nacional,Total,90 y más años,Dato base,2021SM27,1956.0
Total Nacional,Total,90 y más años,Dato base,2021SM28,1938.0
Total Nacional,Total,90 y más años,Dato base,2021SM29,2189.0
Total Nacional,Total,90 y más años,Dato base,2021SM30,2236.0
Total Nacional,Total,90 y más años,Dato base,2021SM31,2296.0
Total Nacional,Total,90 y más años,Dato base,2021SM32,2295.0
Total Nacional,Total,90 y más años,Dato base,2021SM33,2417.0
Total Nacional,Total,90 y más años,Dato base,2021SM34,2205.0
Total Nacional,Total,90 y más años,Dato base,2021SM35,2069.0
Total Nacional,Total,90 y más años,Dato base,2021SM36,2009.0
Total Nacional,Total,90 y más años,Dato base,2021SM37,1837.0
Total Nacional,Total,90 y más años,Dato base,2021SM38,178.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM01,2003.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM02,2214.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM03,2371.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM04,2281.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM05,2241.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM06,2151.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM07,206.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM08,2056.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM09,2009.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM10,1859.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM11,1776.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM12,1785.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM13,1776.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM14,1834.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM15,172.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM16,1623.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM17,1726.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM18,1713.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM19,1642.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM20,1597.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM21,1569.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM22,1687.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM23,1632.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM24,1501.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM25,1538.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM26,16.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM27,1717.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM28,1609.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM29,1552.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM30,1608.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM31,1466.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM32,1591.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM33,1456.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM34,1482.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM35,1445.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM36,1463.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM37,1427.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM38,1498.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM39,14.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM40,1455.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM41,1543.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM42,1577.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM43,1685.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM44,1717.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM45,1636.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM46,175.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM47,1753.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM48,1803.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM49,1696.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM50,1766.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM51,1835.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2019SM52,1796.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM01,1903.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM02,2059.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM03,2177.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM04,2252.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM05,2232.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM06,1907.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM07,1896.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM08,1794.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM09,1805.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM10,1862.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM11,207.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM12,2931.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM13,4425.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM14,4911.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM15,4127.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM16,3076.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM17,231.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM18,2003.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM19,1809.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM20,1641.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM21,154.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM22,1626.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM23,1443.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM24,139.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM25,1501.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM26,1512.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM27,1588.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM28,1658.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM29,1575.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM30,1724.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM31,1844.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM32,1761.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM33,1703.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM34,1686.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM35,1621.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM36,1634.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM37,1677.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM38,177.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM39,1656.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM40,1753.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM41,1847.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM42,1821.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM43,2048.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM44,2083.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM45,2244.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM46,2243.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM47,2202.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM48,2069.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM49,1989.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM50,2066.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM51,1988.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM52,1943.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2020SM53,2002.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM01,2343.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM02,2703.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM03,2896.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM04,2935.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM05,2579.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM06,2242.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM07,2026.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM08,1876.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM09,1773.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM10,1718.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM11,1762.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM12,1744.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM13,1714.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM14,1777.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM15,1701.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM16,1672.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM17,1689.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM18,1595.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM19,1639.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM20,1591.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM21,155.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM22,153.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM23,1673.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM24,1655.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM25,153.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM26,1639.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM27,1609.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM28,1545.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM29,1786.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM30,1824.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM31,1843.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM32,1997.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM33,1845.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM34,1741.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM35,1587.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM36,174.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM37,1542.0
Total Nacional,Total,De 85 a 89 años  ,Dato base,2021SM38,1375.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2019SM01,1493.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2019SM02,1674.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2019SM03,1679.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2019SM04,165.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2019SM05,1535.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2019SM06,1537.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2019SM07,1507.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2019SM08,1437.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2019SM09,1421.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2019SM10,1321.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2019SM11,1319.0
