,Comunidades y Ciudades Autónomas,Viajeros y pernoctaciones,Residencia,Periodo,Total
0,Total Nacional,Viajero,Total ,2021M08,1.522.343
1,Total Nacional,Viajero,Total ,2021M07,1.262.010
2,Total Nacional,Viajero,Total ,2021M06,637.306
3,Total Nacional,Viajero,Total ,2021M05,345.765
4,Total Nacional,Viajero,Total ,2021M04,205.867
5,Total Nacional,Viajero,Total ,2021M03,167.302
6,Total Nacional,Viajero,Total ,2021M02,100.139
7,Total Nacional,Viajero,Total ,2021M01,109.649
8,Total Nacional,Viajero,Total ,2020M12,153.107
9,Total Nacional,Viajero,Total ,2020M11,113.653
10,Total Nacional,Viajero,Total ,2020M10,260.193
11,Total Nacional,Viajero,Total ,2020M09,433.107
12,Total Nacional,Viajero,Total ,2020M08,964.453
13,Total Nacional,Viajero,Total ,2020M07,688.700
14,Total Nacional,Viajero,Total ,2020M06,119.485
15,Total Nacional,Viajero,Total ,2020M05,15.162
16,Total Nacional,Viajero,Total ,2020M04,0
17,Total Nacional,Viajero,Total ,2020M03,197.077
18,Total Nacional,Viajero,Total ,2020M02,682.518
19,Total Nacional,Viajero,Total ,2020M01,591.022
20,Total Nacional,Viajero,Total ,2019M12,715.779
21,Total Nacional,Viajero,Total ,2019M11,676.928
22,Total Nacional,Viajero,Total ,2019M10,987.298
23,Total Nacional,Viajero,Total ,2019M09,1.286.059
24,Total Nacional,Viajero,Total ,2019M08,1.845.564
25,Total Nacional,Viajero,Total ,2019M07,1.619.121
26,Total Nacional,Viajero,Total ,2019M06,1.356.915
27,Total Nacional,Viajero,Total ,2019M05,1.071.350
28,Total Nacional,Viajero,Total ,2019M04,962.093
29,Total Nacional,Viajero,Total ,2019M03,777.521
30,Total Nacional,Viajero,Total ,2019M02,628.221
31,Total Nacional,Viajero,Total ,2019M01,552.504
32,Total Nacional,Viajero,Total ,2018M12,705.050
33,Total Nacional,Viajero,Total ,2018M11,655.672
34,Total Nacional,Viajero,Total ,2018M10,984.904
35,Total Nacional,Viajero,Total ,2018M09,1.303.257
36,Total Nacional,Viajero,Total ,2018M08,1.734.152
