Comunidades y Ciudades Autónomas	Viajeros y pernoctaciones	Residencia	Periodo	Total
Total Nacional	Viajero	Total 	2021M08	1.522.343
Total Nacional	Viajero	Total 	2021M07	1.262.010
Total Nacional	Viajero	Total 	2021M06	637.306
Total Nacional	Viajero	Total 	2021M05	345.765
Total Nacional	Viajero	Total 	2021M04	205.867
Total Nacional	Viajero	Total 	2021M03	167.302
Total Nacional	Viajero	Total 	2021M02	100.139
Total Nacional	Viajero	Total 	2021M01	109.649
Total Nacional	Viajero	Total 	2020M12	153.107
Total Nacional	Viajero	Total 	2020M11	113.653
Total Nacional	Viajero	Total 	2020M10	260.193
Total Nacional	Viajero	Total 	2020M09	433.107
Total Nacional	Viajero	Total 	2020M08	964.453
Total Nacional	Viajero	Total 	2020M07	688.700
Total Nacional	Viajero	Total 	2020M06	119.485
Total Nacional	Viajero	Total 	2020M05	15.162
Total Nacional	Viajero	Total 	2020M04	0
Total Nacional	Viajero	Total 	2020M03	197.077
Total Nacional	Viajero	Total 	2020M02	682.518
Total Nacional	Viajero	Total 	2020M01	591.022
Total Nacional	Viajero	Total 	2019M12	715.779
Total Nacional	Viajero	Total 	2019M11	676.928
Total Nacional	Viajero	Total 	2019M10	987.298
Total Nacional	Viajero	Total 	2019M09	1.286.059
Total Nacional	Viajero	Total 	2019M08	1.845.564
Total Nacional	Viajero	Total 	2019M07	1.619.121
Total Nacional	Viajero	Total 	2019M06	1.356.915
Total Nacional	Viajero	Total 	2019M05	1.071.350
Total Nacional	Viajero	Total 	2019M04	962.093
Total Nacional	Viajero	Total 	2019M03	777.521
Total Nacional	Viajero	Total 	2019M02	628.221
Total Nacional	Viajero	Total 	2019M01	552.504
Total Nacional	Viajero	Total 	2018M12	705.050
Total Nacional	Viajero	Total 	2018M11	655.672
Total Nacional	Viajero	Total 	2018M10	984.904
Total Nacional	Viajero	Total 	2018M09	1.303.257
Total Nacional	Viajero	Total 	2018M08	1.734.152
Total Nacional	Viajero	Total 	2018M07	1.607.264
Total Nacional	Viajero	Total 	2018M06	1.326.290
Total Nacional	Viajero	Total 	2018M05	1.057.555
Total Nacional	Viajero	Total 	2018M04	894.266
Total Nacional	Viajero	Total 	2018M03	814.768
Total Nacional	Viajero	Total 	2018M02	632.829
Total Nacional	Viajero	Total 	2018M01	572.883
Total Nacional	Viajero	Residentes en España	2021M08	1.045.798
Total Nacional	Viajero	Residentes en España	2021M07	879.384
Total Nacional	Viajero	Residentes en España	2021M06	487.783
Total Nacional	Viajero	Residentes en España	2021M05	257.896
Total Nacional	Viajero	Residentes en España	2021M04	163.848
Total Nacional	Viajero	Residentes en España	2021M03	129.639
Total Nacional	Viajero	Residentes en España	2021M02	71.776
Total Nacional	Viajero	Residentes en España	2021M01	75.045
Total Nacional	Viajero	Residentes en España	2020M12	95.398
Total Nacional	Viajero	Residentes en España	2020M11	.
Total Nacional	Viajero	Residentes en España	2020M10	195.968
Total Nacional	Viajero	Residentes en España	2020M09	354.397
Total Nacional	Viajero	Residentes en España	2020M08	748.104
Total Nacional	Viajero	Residentes en España	2020M07	506.894
Total Nacional	Viajero	Residentes en España	2020M06	108.093
Total Nacional	Viajero	Residentes en España	2020M05	.
Total Nacional	Viajero	Residentes en España	2020M04	0
Total Nacional	Viajero	Residentes en España	2020M03	61.539
Total Nacional	Viajero	Residentes en España	2020M02	243.027
Total Nacional	Viajero	Residentes en España	2020M01	190.249
Total Nacional	Viajero	Residentes en España	2019M12	291.501
Total Nacional	Viajero	Residentes en España	2019M11	236.062
Total Nacional	Viajero	Residentes en España	2019M10	309.995
Total Nacional	Viajero	Residentes en España	2019M09	480.084
Total Nacional	Viajero	Residentes en España	2019M08	834.401
Total Nacional	Viajero	Residentes en España	2019M07	672.023
Total Nacional	Viajero	Residentes en España	2019M06	545.008
Total Nacional	Viajero	Residentes en España	2019M05	378.883
Total Nacional	Viajero	Residentes en España	2019M04	390.879
Total Nacional	Viajero	Residentes en España	2019M03	272.196
Total Nacional	Viajero	Residentes en España	2019M02	202.033
Total Nacional	Viajero	Residentes en España	2019M01	159.484
Total Nacional	Viajero	Residentes en España	2018M12	279.916
Total Nacional	Viajero	Residentes en España	2018M11	216.671
Total Nacional	Viajero	Residentes en España	2018M10	304.669
Total Nacional	Viajero	Residentes en España	2018M09	482.052
Total Nacional	Viajero	Residentes en España	2018M08	777.595
Total Nacional	Viajero	Residentes en España	2018M07	662.484
Total Nacional	Viajero	Residentes en España	2018M06	511.590
Total Nacional	Viajero	Residentes en España	2018M05	331.768
Total Nacional	Viajero	Residentes en España	2018M04	315.024
Total Nacional	Viajero	Residentes en España	2018M03	312.809
Total Nacional	Viajero	Residentes en España	2018M02	198.534
Total Nacional	Viajero	Residentes en España	2018M01	162.496
Total Nacional	Viajero	Residentes en el Extranjero	2021M08	476.545
Total Nacional	Viajero	Residentes en el Extranjero	2021M07	382.626
Total Nacional	Viajero	Residentes en el Extranjero	2021M06	149.523
Total Nacional	Viajero	Residentes en el Extranjero	2021M05	87.869
