"Año";"Periodo";"Parámetro";"%"
"2020";"Andalucía";"Andalucía";"23,26"
"2020";"Aragón";"Aragón";"14,74"
"2020";"Asturias";"Asturias";"14,94"
"2020";"Baleares";"Baleares";"16,9"
"2020";"C-LM";"C-LM";"18,69"
"2020";"C.Valenciana";"C.Valenciana";"18,4"
"2020";"Canarias";"Canarias";"19,88"
"2020";"Cantabria";"Cantabria";"14,79"
"2020";"Cataluña";"Cataluña";"15,18"
"2020";"Ceuta";"Ceuta";"15,94"
"2020";"CyL";"CyL";"14,7"
"2020";"Extremadura";"Extremadura";"20,34"
"2020";"Galicia";"Galicia";"14,29"
"2020";"Madrid";"Madrid";"16,68"
"2020";"Melilla";"Melilla";"25,13"
"2020";"Murcia";"Murcia";"18,43"
"2020";"Nacional";"Nacional";"17,45"
"2020";"Navarra";"Navarra";"13,42"
"2020";"País Vasco";"País Vasco";"12,64"
"2020";"Rioja, La";"Rioja, La";"14,33"
;;
;;
"Métrica":"%"
"Fuente":"INE"
"Clasificación":""
"Unidad":"%"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/porcentaje-empresas-enero-2020-destruido-finales-tercer-trimestre-cada-comunidad/ead6f867-ef48-49ef-b867-7e384b670ad2"
"Titulo":"Porcentaje de empresas a 1 de enero de 2020 que se habían destruido a finales del tercer trimestre en cada comunidad"
"Subtitulo":"Coincidiendo con la crisis del coronavirus en España"
