"Año";"Periodo";"Nº de turistas"
"2001";"Agosto";"34,4"
"2002";"Agosto";"35,65"
"2003";"Agosto";"36,12"
"2004";"Agosto";"36,48"
"2005";"Agosto";"38,91"
"2006";"Agosto";"40,54"
"2007";"Agosto";"41,07"
"2008";"Agosto";"40,99"
"2009";"Agosto";"36,89"
"2010";"Agosto";"37,02"
"2011";"Agosto";"39,31"
"2012";"Agosto";"40,48"
"2013";"Agosto";"42,29"
"2014";"Agosto";"45,35"
"2015";"Agosto";"47,27"
"2016";"Agosto";"52,16"
"2017";"Agosto";"57,35"
"2018";"Agosto";"57,33"
"2019";"Agosto";"58,12"
"2020";"Agosto";"15,67"
"2021";"Agosto";"15,01"
;;
;;
"Métrica":"Nº de turistas"
"Fuente":"Turespaña,INE"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Millones"
"EscalaFactorPotencia10":"6"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/numero-turistas-internacionales-llegaron-espana/f29df8e8-8f3e-4982-a2e7-41325a303466"
"Titulo":"Evolución de la llegada de turistas extranjeros a España"
"Subtitulo":""
