,Personas con al menos 1 dosis ?80 años,%,Personas con al menos 1 dosis 70-79 años,%,Personas con al menos 1 dosis 60-69 años,%,Personas con al menos 1 dosis 50-59 años,%,Personas con al menos 1 dosis 40-49 años,%,Personas con al menos 1 dosis 30-39 años,%,Personas con al menos 1 dosis 20-29 años,%,Personas con al menos 1 dosis 12-19 años,%,Total Personas con al menos 1 dosis,Total Población INE Población a Vacunar (1),% Con al menos 1 dosis sobre Población a Vacunar INE,% Con al menos 1 dosis sobre Total Población INE,,,,,,,,,,,,,,,,,,,,,,,,
Andalucía,"433,728",100.0%,"653,445",100.0%,"928,669",100.0%,"1,214,761",96.0%,"1,248,837",90.2%,"926,900",81.3%,"763,120",82.2%,"663,383",88.1%,"6,832,843","7,451,975",91.7%,80.7%,,,,,,,,,,,,,,,,,,,,,,,,
Aragón,"101,253",100.0%,"119,261",100.0%,"154,495",98.8%,"185,879",93.8%,"187,576",87.3%,"125,182",76.2%,"103,425",79.3%,"87,762",85.1%,"1,064,833","1,185,134",89.8%,80.1%,,,,,,,,,,,,,,,,,,,,,,,,
Asturias ,"88,951",100.0%,"114,345",100.0%,"148,154",99.0%,"153,144",94.2%,"150,573",90.2%,"90,874",79.4%,"66,534",84.1%,"60,460",94.5%,"873,035","933,927",93.5%,85.7%,,,,,,,,,,,,,,,,,,,,,,,,
Baleares,"51,483",100.0%,"79,236",98.4%,"110,288",94.1%,"150,106",90.5%,"167,221",81.1%,"125,865",69.1%,"96,550",70.0%,"74,214",77.7%,"854,963","1,034,867",82.6%,73.0%,,,,,,,,,,,,,,,,,,,,,,,,
Canarias,"93,033",100.0%,"151,369",98.0%,"224,383",95.4%,"320,513",91.4%,"317,575",81.9%,"228,871",73.6%,"186,741",74.2%,"148,519",82.6%,"1,671,004","1,960,774",85.2%,76.8%,,,,,,,,,,,,,,,,,,,,,,,,
Cantabria,"42,313",100.0%,"55,912",100.0%,"76,652",99.1%,"84,248",93.6%,"87,946",90.0%,"54,514",77.4%,"41,015",81.2%,"39,081",88.9%,"481,681","524,127",91.9%,82.6%,,,,,,,,,,,,,,,,,,,,,,,,
Castilla y Leon,"229,322",100.0%,"250,482",100.0%,"320,391",100.0%,"352,744",92.5%,"320,181",88.1%,"211,575",79.0%,"172,099",81.6%,"142,750",86.3%,"1,999,544","2,176,253",91.9%,83.5%,,,,,,,,,,,,,,,,,,,,,,,,
Castilla - La Mancha,"138,122",100.0%,"158,360",99.5%,"222,240",100.0%,"286,115",93.1%,"286,611",86.7%,"204,800",77.0%,"171,761",78.8%,"147,951",85.0%,"1,615,960","1,808,784",89.3%,79.0%,,,,,,,,,,,,,,,,,,,,,,,,
Cataluña,"458,747",100.0%,"618,184",97.3%,"798,890",95.4%,"1,023,993",93.8%,"1,125,150",85.4%,"772,448",73.9%,"631,058",75.2%,"524,163",79.9%,"5,952,633","6,868,360",86.7%,76.5%,,,,,,,,,,,,,,,,,,,,,,,,
C. Valenciana,"297,236",100.0%,"434,371",99.2%,"569,909",98.1%,"714,567",95.0%,"752,023",88.3%,"508,119",78.3%,"423,321",82.0%,"368,662",86.8%,"4,068,208","4,488,459",90.6%,80.4%,,,,,,,,,,,,,,,,,,,,,,,,
